id,name,k1,k2,k3,avg_test_ll,avg_lp.min
eukw0voq,trim-sweep-1,2,2,2,-29.22270393371582,-35.48884963989258
f20z9gmp,sage-sweep-2,2,2,4,-27.763206481933594,-35.23694610595703
ov0jy7yy,bumbling-sweep-3,2,2,8,-27.499195098876953,-35.28035354614258
p9ptkxce,fragrant-sweep-4,2,2,16,-27.474853515625,-35.02783966064453
f03y8qor,dauntless-sweep-5,2,2,24,-27.237316131591797,-34.701698303222656
9gvgtoas,woven-sweep-6,2,2,36,-27.43389320373535,-35.107791900634766
zbzbp603,woven-sweep-7,2,2,48,-28.10738754272461,-34.771385192871094
tjmyiy7d,fiery-sweep-8,2,2,72,-26.78786849975586,-34.820281982421875
qt2mp2f7,ancient-sweep-9,2,2,90,-27.07377815246582,-34.90925979614258
hxicw3s4,vital-sweep-10,2,4,2,-28.965267181396484,-35.347835540771484
xz6e5h3f,zesty-sweep-11,2,4,4,-27.757204055786133,-35.09992980957031
87l354w9,treasured-sweep-12,2,4,8,-27.202383041381836,-34.873497009277344
gwwm7pla,breezy-sweep-14,2,4,24,-27.09364128112793,-35.04096603393555
jjma9b55,vague-sweep-13,2,4,16,-27.851430892944336,-35.25627136230469
tyw6w7fw,wobbly-sweep-15,2,4,36,-27.545873641967773,-34.9902229309082
1ckc6hw9,faithful-sweep-16,2,4,48,-27.12974548339844,-34.92934799194336
6l2wfmfb,lemon-sweep-17,2,4,72,-27.12860679626465,-34.83152770996094
33x78079,flowing-sweep-20,2,6,4,-27.191871643066406,-35.17538070678711
3g25f5uq,upbeat-sweep-19,2,6,2,-28.006486892700195,-35.25553512573242
cpikyf12,lively-sweep-18,2,4,90,-27.640071868896484,-34.38079833984375
ucdmaox3,usual-sweep-21,2,6,8,-27.76620101928711,-35.15302658081055
pwolt694,cosmic-sweep-22,2,6,16,-27.535715103149418,-35.335933685302734
f0muzw3d,sage-sweep-24,2,6,36,-27.85009765625,-34.52326202392578
fy7eslta,revived-sweep-23,2,6,24,-28.241363525390625,-35.02741622924805
w7wuc1c0,solar-sweep-25,2,6,48,-27.63996124267578,-34.61656188964844
2rl0twk1,light-sweep-26,2,6,72,-27.69017219543457,-34.91996383666992
iq1r2nd3,easy-sweep-27,2,6,90,-27.437345504760746,-34.96437072753906
gafgsy5g,sunny-sweep-28,2,8,2,-28.53383445739746,-34.996337890625
52hrmxax,devout-sweep-30,2,8,8,-27.260515213012695,-35.127281188964844
m9ybwt5w,stoic-sweep-29,2,8,4,-27.5772705078125,-35.07230758666992
8bmi023m,dutiful-sweep-31,2,8,16,-27.18158531188965,-35.2375373840332
hcvwvhsa,sweet-sweep-32,2,8,24,-27.548303604125977,-35.042938232421875
mij6772e,zesty-sweep-33,2,8,36,-27.573965072631836,-35.19424819946289
nebuw0ki,trim-sweep-34,2,8,48,-27.15832138061523,-34.502803802490234
wdrcxgc7,fanciful-sweep-35,2,8,72,-27.868839263916016,-34.42780303955078
380eblt6,fresh-sweep-36,2,8,90,-28.086015701293945,-34.546627044677734
swk8loip,denim-sweep-37,2,16,2,-28.425085067749023,-34.98707962036133
